trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
20,False,"{'a': 0.4, 'e': 0.6676079717550942}",20,0,-50.455415012062524,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.4, 'e': 0.6542558123199923}",20,0,-85.49704969415573,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
22,False,"{'a': 0.4, 'e': 0.6411706960735924}",30,0,-151.1828970198919,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
23,False,"{'a': 0.4, 'e': 0.6283472821521207}",20,0,-11.815917383089356,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.4, 'e': 0.6157803365090782}",25,0,-39.584973047749166,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
25,False,"{'a': 0.4, 'e': 0.6034647297788966}",25,9,-36.106642343076096,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
26,False,"{'a': 0.4, 'e': 0.5913954351833187}",20,4,10.57075207676495,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.4, 'e': 0.5795675264796523}",20,0,-34.60919690516353,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
28,False,"{'a': 0.4, 'e': 0.5679761759500592}",25,0,-12.290818508589053,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.4, 'e': 0.5566166524310581}",25,0,-115.21328039398259,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
30,False,"{'a': 0.4, 'e': 0.5454843193824369}",20,0,-147.34452743884515,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
31,False,"{'a': 0.4, 'e': 0.5345746329947881}",30,0,-61.91787268619196,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.4, 'e': 0.5238831403348924}",20,0,-47.15616167097958,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.4, 'e': 0.5134054775281945}",30,0,-152.94809171445416,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
34,False,"{'a': 0.4, 'e': 0.5031373679776306}",20,0,-57.57626685719717,"{0: 14, 1: 3, 2: 0, 3: 3, 4: 0}",0
35,False,"{'a': 0.4, 'e': 0.493074620618078}",20,1,-23.612037536392616,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
36,False,"{'a': 0.4, 'e': 0.48321312820571644}",20,9,-2.74256988648457,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.4, 'e': 0.4735488656416021}",30,0,-213.95048005616093,"{0: 19, 1: 2, 2: 3, 3: 2, 4: 4}",0
38,False,"{'a': 0.4, 'e': 0.46407788832877006}",30,17,21.328939435502896,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.4, 'e': 0.4547963305621946}",20,5,-17.182296705394943,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.4, 'e': 0.44570040395095073}",25,5,-81.46951857547842,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",1
41,False,"{'a': 0.4, 'e': 0.4367863958719317}",30,0,-86.78882910081303,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
42,False,"{'a': 0.4, 'e': 0.42805066795449304}",20,0,-89.25690508071634,"{0: 13, 1: 0, 2: 3, 3: 4, 4: 0}",0
43,False,"{'a': 0.4, 'e': 0.41948965459540316}",25,0,-13.327362127115618,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.4, 'e': 0.4110998615034951}",20,5,-34.54715617475972,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.4, 'e': 0.4028778642734252}",20,11,9.767031598347645,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.4, 'e': 0.3948203069879567}",30,14,0.6838663677695649,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.4, 'e': 0.38692390084819756}",30,8,-5.385196652906294,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
48,False,"{'a': 0.4, 'e': 0.3791854228312336}",25,0,-31.875149507958778,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.4, 'e': 0.3716017143746089}",20,8,7.154775397157662,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
